Rk,Team ID,Team,Year,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Restricted Area FGM, Restricted Area FGA,Restricted Area FG%,In the Paint (Non-RA) FGM,In the Paint (Non-RA) FGA,In the Paint (Non-RA) FG%,Mid-Range FGM,Mid-Range FGA,Mid-Range FG%,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG%,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG%,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG%,Backcourt FGA,Backcourt FGA,Backcourt FG%,1-4ft FGM,1-4ft FGA,1-4ft FG%,5-9ft FGM,5-9ft FGA,5-9ft FG%,10-14ft FGM,10-14ft FGA,10-14ft FG%,15-19ft FGM,15-19ft FGA,15-19ft FG%,20-24ft FGM,20-24ft FGA,20-24ft FG%,25-29ft FGM,25-29ft FGA,25-29ft FG%,30-34ft FGM,30-34ft FGA,30-34ft FG%,35-39ft FGM,35-39ft FGA,35-39ft FG%,41ft FGM,41ft FGA,41ft FG%
1,1610612737,Atlanta Hawks*,16,48,34,51,31,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,17.8,29.5,0.603,3.9,9.8,0.393,7,16.7,0.419,1.2,3.3,0.351,1.4,3.7,0.375,7.4,21.2,0.348,0,0.2,0.083,18.4,31,0.593,2.6,6.8,0.383,2.2,5.1,0.428,4.3,10.3,0.414,8.1,21.9,0.37,3,9,0.335,0,0.1,0.333,0,0.1,0,0,0.2,0.125
2,1610612738,Boston Celtics*,16,48,34,50,32,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,18.4,30.6,0.602,4.5,12.2,0.372,7.5,20.3,0.37,1.2,3.1,0.378,1,3.1,0.322,6.6,19.7,0.333,0,0.2,0,19,32.6,0.583,3.2,8.4,0.378,2.5,6.7,0.374,4.1,11.4,0.363,6.4,17.7,0.363,4,12.2,0.326,0,0.2,0.222,0,0.1,0,0,0.2,0.071
3,1610612751,Brooklyn Nets,16,21,61,22,60,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,15.7,26.7,0.59,7.3,16.9,0.433,8.7,22.4,0.388,1.1,3,0.373,1.1,2.8,0.404,4.2,12.5,0.34,0,0.2,0,16.6,28.9,0.573,5.6,12.9,0.435,3,7.2,0.412,5.2,13.3,0.392,5.6,15.3,0.368,2.3,6.6,0.346,0,0.2,0.167,0,0.2,0.25,0,0.2,0
4,1610612766,Charlotte Hornets*,16,48,34,49,33,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,14.4,24.7,0.58,4.4,10.9,0.406,7.6,19.4,0.392,1.2,2.8,0.418,1,2.4,0.404,8.5,24.1,0.353,0,0.1,0.111,14.8,25.9,0.571,3.4,8.1,0.418,2.3,6.3,0.37,4.7,11.6,0.404,6.3,16,0.393,5.5,16.2,0.341,0,0.2,0.091,0,0.1,0,0,0.2,0.083
5,1610612741,Chicago Bulls,16,42,40,37,45,-1.48,0.01,-1.46,105,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,15.7,28.3,0.556,4.8,12.5,0.383,10.2,25.3,0.402,0.9,2.6,0.353,1.1,2.3,0.452,6,16.3,0.366,0,0.2,0.063,16.7,30.5,0.547,3.4,9.1,0.379,3,7.9,0.383,5.9,14.3,0.413,6.3,16,0.392,3.3,9.3,0.352,0.1,0.3,0.222,0,0.2,0.167,0,0.3,0.042
6,1610612739,Cleveland Cavaliers*,16,57,25,57,25,6,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,16,25.1,0.637,4.5,11.4,0.397,7.4,17.9,0.416,1.5,3.8,0.39,1.7,4.3,0.398,7.5,21.4,0.351,0,0.1,0.2,16.7,26.9,0.624,3.6,9.1,0.395,2.3,6.2,0.364,4.1,9.1,0.451,7.1,19,0.375,4.8,13.4,0.359,0,0.3,0,0,0.1,0,0,0.1,0.111
7,1610612742,Dallas Mavericks*,16,42,40,40,42,-0.3,0.29,-0.02,106.7,107,-0.3,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,14.2,22.8,0.621,4.8,11.6,0.417,8.5,21.2,0.403,1.4,3.8,0.357,1.1,2.5,0.434,7.4,22,0.334,0,0.2,0,14.9,24.7,0.603,3.1,8.2,0.38,3.1,7.3,0.427,5.1,12,0.426,7.9,21.4,0.368,3.2,10,0.319,0,0.2,0,0,0.2,0,0,0.3,0
8,1610612743,Denver Nuggets,16,33,49,33,49,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,18.6,32.7,0.569,4.3,11.3,0.384,6.8,17.7,0.383,1.1,3,0.36,0.7,2.2,0.319,6.2,18.3,0.338,0,0.2,0.111,19.5,35.4,0.552,2.9,7.4,0.388,1.9,5.2,0.366,3.6,9.2,0.387,6.2,16.9,0.366,3.6,10.9,0.331,0,0.2,0.2,0,0.2,0.167,0,0.2,0.105
9,1610612765,Detroit Pistons*,16,44,38,43,39,0.61,-0.18,0.43,106.1,105.5,0.6,95.1,0.296,0.303,0.522,0.491,12.2,27,0.197,16,27.2,0.588,5.7,15,0.382,7.2,18,0.398,1.1,3.4,0.329,1.4,3.5,0.405,6.5,18.8,0.343,0,0.4,0.033,16.9,29.7,0.569,4.5,11.5,0.387,2.9,7.1,0.403,4,9.7,0.411,5,13.6,0.369,4.7,14,0.334,0,0.3,0.071,0,0.2,0.143,0,0.5,0.027
10,1610612744,Golden State Warriors*,16,73,9,65,17,10.76,-0.38,10.38,114.5,103.8,10.7,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,18.1,28.5,0.636,4.2,10.8,0.388,7.1,16.4,0.434,1.5,3.8,0.407,1.5,3.7,0.419,10,23.9,0.419,0,0.3,0.091,18.7,30.2,0.617,2.6,6.9,0.377,2.9,6.8,0.434,3.8,8.8,0.436,6.9,16.7,0.414,7.2,17,0.427,0.4,0.7,0.474,0.1,0.2,0.333,0,0.3,0.148
